label,hl_algorithm,goal_components,c,seed,err_vx,err_vy,err_yaw,ss_err_vx,ss_err_vy,t90_s,fall_rate,mean_ep_len,action_rate,act_legs,jacc,jacc_legs,jacc_arms,jacc_legs_p95,jacc_arms_p95,ajit_legs,ajit_legs_p95,qjit_legs,qjit_legs_p95,act_legs_rad,orient_dev,height_dev,ub_pose_dev,ub_arm_vel,mech_power_w,gait_match,cot,mech_power_copper_w,cot_copper,omega_xy,ss_vx_var,stride_period_s,T_pinned,payload_kg,vx_pinned,repeat,eval_steps
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06116973236203194,0.07125258445739746,0.0941477045416832,0.055168598890304565,0.07061748206615448,0.56,0.0,600.5,0.8774814009666443,0.7632355690002441,37.727272033691406,52.00293731689453,27.211320877075195,103.3289794921875,37.40047073364258,22414.509765625,67271.875,15900.2119140625,39637.43359375,0.19080889225006104,0.022085603326559067,0.005794929340481758,0.003171817399561405,0.28661462664604187,181.1724395751953,0.9631900787353516,0.5273045158875178,3301.994140625,9.61049294921523,0.2544364333152771,0.000429674080805853,0.3947064114094822,0.4,0,0.5,0,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.059306394308805466,0.07143061608076096,0.09584620594978333,0.05334694683551788,0.07076771557331085,0.56,0.0,600.5,0.879561722278595,0.7657817006111145,37.924476623535156,52.28700256347656,27.33570671081543,103.5366439819336,37.309383392333984,22508.4296875,66958.9609375,15926.9169921875,38984.97265625,0.19144542515277863,0.022272536531090736,0.00574217364192009,0.0032587950117886066,0.2846464514732361,182.22320556640625,0.9660546779632568,0.5276674612600047,3316.4130859375,9.603405407109525,0.25542357563972473,0.00039512201328761876,0.394554328281531,0.4,0,0.5,1,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.059329912066459656,0.07093867659568787,0.09615392237901688,0.05337412655353546,0.07033352553844452,0.56,0.0,600.5,0.8864092230796814,0.7729091644287109,38.6252326965332,53.922691345214844,27.277507781982422,110.83778381347656,37.38825607299805,22731.05078125,63838.16015625,16769.685546875,40755.34765625,0.19322729110717773,0.02370266616344452,0.005703942384570837,0.0032700879964977503,0.28353822231292725,184.64173889160156,0.968248724937439,0.5332137159431743,3342.667236328125,9.653050133305463,0.2571004033088684,0.0003961460606660694,0.3940987812700449,0.4,0,0.5,2,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.05924499034881592,0.07172812521457672,0.09596206992864609,0.05329445004463196,0.0711275115609169,0.56,0.0,600.5,0.8836051821708679,0.770756721496582,37.9583740234375,52.632118225097656,27.098237991333008,108.54973602294922,38.82841110229492,22669.28125,64242.05859375,16089.9013671875,39737.98828125,0.1926891803741455,0.02326793037354946,0.005865436512976885,0.003302207915112376,0.2842566967010498,183.7156219482422,0.9627083539962769,0.531149341419175,3339.8818359375,9.656096984336331,0.25568804144859314,0.0003957909357268363,0.39414934565050036,0.4,0,0.5,3,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.060312189161777496,0.07146371155977249,0.09601619094610214,0.054445646703243256,0.07080913335084915,0.56,0.0,600.5,0.8873316645622253,0.7727755308151245,38.20173645019531,52.72948455810547,27.48565673828125,109.28374481201172,37.7778205871582,22798.865234375,65024.359375,16190.74609375,40504.83203125,0.19319388270378113,0.02432582899928093,0.00587844755500555,0.0034249997697770596,0.2852391302585602,185.09019470214844,0.966992199420929,0.5350739419738731,3350.5830078125,9.686140721656809,0.2588351368904114,0.00046002055751159787,0.39445300462249616,0.4,0,0.5,4,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06023696810007095,0.07145217806100845,0.09350865334272385,0.054251451045274734,0.07079274952411652,0.56,0.0,600.5,0.8816289305686951,0.7688793540000916,37.725013732910156,52.09732437133789,27.10333251953125,105.95642852783203,36.672996520996094,22590.2578125,64810.9453125,15822.001953125,39602.08203125,0.1922198385000229,0.023471670225262642,0.006077629514038563,0.003317919559776783,0.2845669388771057,183.1468048095703,0.9675260186195374,0.5319624553485118,3343.479736328125,9.71136720974832,0.25768473744392395,0.0003932137042284012,0.3946050096339114,0.4,0,0.5,5,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.060527503490448,0.07114546746015549,0.09423492103815079,0.05448416620492935,0.07052753120660782,0.56,0.0,600.5,0.8846904635429382,0.7725231647491455,37.56748962402344,51.92089080810547,26.948802947998047,104.29873657226562,37.74403762817383,22546.064453125,63255.125,15772.77734375,40827.109375,0.19313079118728638,0.022554924711585045,0.006007983814924955,0.0033269021660089493,0.2861294448375702,184.40098571777344,0.9660221338272095,0.5356205547507963,3368.491455078125,9.784293476124038,0.2547764778137207,0.00048212200636044145,0.393543428132206,0.4,0,0.5,6,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.05988384783267975,0.07162884622812271,0.09740428626537323,0.0539066419005394,0.07102272659540176,0.56,0.0,600.5,0.8850597739219666,0.7731709480285645,37.40176010131836,51.59475326538086,26.904163360595703,106.20823669433594,37.233192443847656,22593.580078125,64486.92578125,15555.951171875,40202.0390625,0.1932927370071411,0.022778108716011047,0.00591270113363862,0.0033233514986932278,0.283450722694397,184.28082275390625,0.9658854007720947,0.5328923561656843,3365.8251953125,9.73309334519973,0.25823479890823364,0.00044886802788823843,0.3942505133470226,0.4,0,0.5,7,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06031770631670952,0.07866591960191727,0.09965972602367401,0.05462261289358139,0.07799460738897324,0.58,0.0,600.5,0.8759558796882629,0.7491858005523682,35.565311431884766,47.3596076965332,27.037656784057617,99.53156280517578,34.4589729309082,21644.380859375,62522.39453125,13711.873046875,33795.265625,0.18729645013809204,0.025743722915649414,0.006454240996390581,0.0033057655673474073,0.28218138217926025,187.2422637939453,0.9640690088272095,0.5208797471034534,3560.0390625,9.903491494812316,0.25530096888542175,0.0005529813934117556,0.4440589765828274,0.45,0,0.5,0,1200
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.060658760368824005,0.07909352332353592,0.10083392262458801,0.0550064742565155,0.07840844988822937,0.58,0.0,600.5,0.8759863376617432,0.7499334216117859,35.30677795410156,46.834861755371094,26.999469757080078,96.13978576660156,34.53368377685547,21601.265625,63082.359375,13488.6357421875,34458.51953125,0.18748335540294647,0.026777591556310654,0.006595487240701914,0.0034361504949629307,0.2826252579689026,187.36741638183594,0.9647656083106995,0.5206026674672574,3560.780517578125,9.89366990953266,0.2587669789791107,0.0008083534194156528,0.4439306358381503,0.45,0,0.5,1,1200
