vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.6,9.540012137575026,5.181,10.606,0.88,5.89,0.57,0.5672,0.5723,fit(5pt)
0.5,4,0.6,10.402032942433916,4.611,8.214,0.844,5.47,0.5747,0.5713,0.5776,fit(5pt)
0.5,8,0.6,11.387597155281709,3.067,7.171,1.006,3.05,0.6021,0.5982,0.6065,fit(5pt)
0.5,12,0.6,12.435010389527513,3.147,8.781,1.099,2.86,0.6068,0.6029,0.611,fit(5pt)
0.6,0,0.4,9.307560614374104,,15.958,0.864,,,,,argmin@edge(0.40)
0.6,4,0.55,10.096187975865025,3.656,12.333,0.867,4.21,0.5418,0.5389,0.5445,fit(5pt)
0.6,8,0.55,11.048738290101937,3.202,8.033,0.96,3.33,0.5501,0.5466,0.5541,fit(5pt)
0.6,12,0.55,12.023781665055283,4.857,6.493,1.193,4.07,0.561,0.5565,0.5658,fit(5pt)
0.7,0,0.4,9.10935704157286,,20.008,0.757,,,,,argmin@edge(0.40)
0.7,4,0.4,9.924495164135687,,16.352,0.733,,,,,argmin@edge(0.40)
0.7,8,0.4,10.811845449503057,,12.35,0.781,,,,,argmin@edge(0.40)
0.7,12,0.4,11.930479196248776,,8.238,0.706,,,,,argmin@edge(0.40)
