after_cell,wallclock_min,cot,cot_copper,err_vx,ss_vx_var,mech_power_w
0,0.4,0.5156205862004197,10.087440491625735,0.0631423220038414,0.0009102798067033291,190.2290496826172
12,36.6,0.5108835802673383,9.862351455847131,0.06452411413192749,0.001267754239961505,192.27816772460938
24,72.8,0.5079173687436045,9.83854308033898,0.06407288461923599,0.0009615643066354096,188.95858764648438
36,109.4,0.5131196723064584,9.898471570248605,0.06384402513504028,0.001076235668733716,191.7174530029297
48,145.9,0.5133688404351247,9.864890437645695,0.06390068680047989,0.0009991705883294344,192.56785583496094
60,182.3,0.5136496789400377,9.865630452154967,0.0635531097650528,0.001044325646944344,193.6995849609375
72,219.0,0.5125042096990006,9.777161609093646,0.06513816118240356,0.0012197166215628386,193.3627166748047
84,255.7,0.5139330242457861,9.871216566827682,0.06432084739208221,0.0011682434706017375,193.0967559814453
84,256.1,0.5119784699536792,9.847914872571225,0.06333215534687042,0.0010136013152077794,192.10340881347656
