vx,metric,at0,at12,pct_rise
0.5,mech_power_w,198.2028438568115,209.34641075134277,5.62
0.5,mech_power_copper_w,3688.7613891601563,4889.56416015625,32.55
0.5,cot,0.521126168105881,0.5573850893062737,6.96
0.5,cot_copper,9.704181391985669,13.074225085691026,34.73
0.5,err_vx,0.07094207005575295,0.07691683564335103,8.42
0.5,ss_vx_var,0.00156264598917909,0.0031092361808986854,98.97
0.6,mech_power_w,251.5288906097412,268.43262977600097,6.72
0.6,mech_power_copper_w,4261.381146240235,5530.077453613281,29.77
0.6,cot,0.5576321423679118,0.6008739688054405,7.75
0.6,cot_copper,9.465483276009394,12.444425089724302,31.47
0.6,err_vx,0.0821076791733503,0.08764257151633496,6.74
0.6,ss_vx_var,0.00233554742299015,0.003816162652219593,63.39
0.7,mech_power_w,317.14916534423827,341.97324523925784,7.83
0.7,mech_power_copper_w,4934.1685791015625,6301.803771972656,27.72
0.7,cot,0.6074322371022187,0.6565197385971002,8.08
0.7,cot_copper,9.478452574181828,12.16349976977499,28.33
0.7,err_vx,0.09372035339474676,0.09925910681486125,5.91
0.7,ss_vx_var,0.003666973736835595,0.00494809988886113,34.94
