vx,payload,argmin_T,y_min,loc_depth_pct,full_depth_pct,floor_2sem_pct,depth_over_floor,Tstar,Tstar_lo,Tstar_hi,status
0.5,0,0.6,30.562827921849447,4.758,9.799,0.863,5.51,0.5731,0.5704,0.5755,fit(5pt)
0.5,4,0.6,33.38806819466401,4.18,7.474,0.834,5.01,0.5799,0.577,0.5828,fit(5pt)
0.5,8,0.6,36.6305757787856,3.402,7.685,1.0,3.4,0.6087,0.6044,0.6135,fit(5pt)
0.5,12,0.6,40.07751101887983,3.46,9.229,1.111,3.11,0.6142,0.6101,0.6188,fit(5pt)
0.6,0,0.4,29.73867093960656,,14.767,0.838,,,,,argmin@edge(0.40)
0.6,4,0.55,32.34294568078014,3.915,11.155,0.846,4.63,0.5472,0.5445,0.55,fit(5pt)
0.6,8,0.55,35.48055386578086,3.445,6.936,0.956,3.6,0.5567,0.5526,0.5614,fit(5pt)
0.6,12,0.55,38.68223122802122,5.141,6.873,1.186,4.34,0.5683,0.5632,0.5737,fit(5pt)
0.7,0,0.4,29.023866154338275,,18.607,0.732,,,,,argmin@edge(0.40)
0.7,4,0.4,31.730019061257575,,14.89,0.72,,,,,argmin@edge(0.40)
0.7,8,0.4,34.66525561059902,,10.948,0.763,,,,,argmin@edge(0.40)
0.7,12,0.4,38.35698584562273,,6.788,0.695,,,,,argmin@edge(0.40)
