label,hl_algorithm,goal_components,c,seed,err_vx,err_vy,err_yaw,ss_err_vx,ss_err_vy,t90_s,fall_rate,mean_ep_len,action_rate,act_legs,jacc,jacc_legs,jacc_arms,jacc_legs_p95,jacc_arms_p95,ajit_legs,ajit_legs_p95,qjit_legs,qjit_legs_p95,act_legs_rad,orient_dev,height_dev,ub_pose_dev,ub_arm_vel,mech_power_w,gait_match,cot,mech_power_copper_w,cot_copper,omega_xy,ss_vx_var,stride_period_s,T_pinned,payload_kg,vx_pinned
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06607498228549957,0.06601127237081528,0.09271804988384247,0.053694091737270355,0.06533151865005493,0.68,0.0,300.5,0.9444450736045837,0.8390143513679504,36.35053253173828,51.39277648925781,25.168792724609375,95.98235321044922,35.68678665161133,25278.234375,74999.0546875,16451.240234375,35598.07421875,0.2097535878419876,0.023735323920845985,0.008378997445106506,0.0036463229916989803,0.281076580286026,178.84732055664062,0.9312890768051147,0.5468402609371327,3646.74951171875,11.1502342769141,0.21371394395828247,0.00029396452009677887,0.34239857333927776,0.35,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06625557690858841,0.06473784148693085,0.09300167858600616,0.05346253514289856,0.06540714204311371,0.74,0.0,300.5,0.9391695261001587,0.8333987593650818,36.3286247253418,51.413116455078125,25.12782859802246,94.98670196533203,34.80838394165039,25038.369140625,75172.1015625,16511.84765625,35753.72265625,0.20834968984127045,0.023266620934009552,0.008292232640087605,0.0036639173049479723,0.2784337103366852,176.6170196533203,0.9318228960037231,0.5412237756208448,3598.191162109375,11.026269458918133,0.21438108384609222,0.00028911459958180785,0.3423222643191442,0.35,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06422464549541473,0.07160000503063202,0.08901876211166382,0.05203703045845032,0.07026966661214828,0.58,0.0,300.5,0.8580138087272644,0.7609816193580627,33.96967315673828,47.483856201171875,23.9750919342041,92.24259185791016,30.549291610717773,21399.4375,67302.765625,14969.66796875,31154.822265625,0.19024540483951569,0.02301308512687683,0.008571169339120388,0.0035576189402490854,0.27961140871047974,174.99557495117188,0.9741926789283752,0.5264613656053644,3821.755859375,11.497472612400209,0.22061525285243988,0.0002941343991551548,0.3880747852450733,0.4,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06420575827360153,0.07157973200082779,0.08901482820510864,0.05199107155203819,0.07023107260465622,0.58,0.0,300.5,0.8580924272537231,0.7610861659049988,34.00998306274414,47.56681442260742,23.980939865112305,92.06079864501953,30.49927520751953,21413.28515625,67271.1171875,15005.966796875,30861.39453125,0.1902715414762497,0.023013470694422722,0.008569660596549511,0.0035562447737902403,0.2796036899089813,175.02769470214844,0.9740104079246521,0.5264932161418137,3822.59033203125,11.498567804553401,0.22062374651432037,0.0002958184923045337,0.3879767618085375,0.4,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06342989951372147,0.07970863580703735,0.09128624200820923,0.051631975919008255,0.07857489585876465,0.6,0.0,300.5,0.8243399262428284,0.7157019376754761,31.475379943847656,41.78847885131836,24.070087432861328,84.1019515991211,31.944459915161133,20164.51171875,62209.1171875,12252.0380859375,31522.615234375,0.17892548441886902,0.02533099800348282,0.009506656788289547,0.0036119548603892326,0.2744086682796478,175.6351318359375,0.956041693687439,0.5125415568002379,3996.288818359375,11.662041931179486,0.2257159948348999,0.0004169550957158208,0.43636363636363634,0.45,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06349348276853561,0.07760599255561829,0.08780431747436523,0.05187724530696869,0.07696938514709473,0.56,0.0,300.5,0.8240746855735779,0.713632345199585,31.334840774536133,41.33574295043945,24.1884822845459,84.17030334472656,31.310733795166016,20106.916015625,62712.69921875,12147.0205078125,31518.33203125,0.17840808629989624,0.02466031350195408,0.009403899312019348,0.003681775415316224,0.27510732412338257,174.9751434326172,0.9569140672683716,0.5115582602251996,3982.191650390625,11.642356622529684,0.22545412182807922,0.0004163594276178628,0.4435460583309269,0.45,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06249130889773369,0.08443571627140045,0.09336605668067932,0.05146697908639908,0.08237786591053009,0.46,0.0,300.5,0.8211169838905334,0.6891060471534729,31.039241790771484,39.802703857421875,24.991376876831055,80.76626586914062,33.21235275268555,19077.783203125,58343.76953125,11729.5478515625,29124.90234375,0.17227651178836823,0.02830667421221733,0.010462270118296146,0.003796710167080164,0.2819289267063141,177.6879119873047,0.931653618812561,0.4989619779864503,4121.85009765625,11.574486241431483,0.22273077070713043,0.0006326686125248671,0.4792511700468019,0.5,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06248488649725914,0.08445732295513153,0.09365179389715195,0.05147361755371094,0.08241533488035202,0.46,0.0,300.5,0.8210892081260681,0.6890885233879089,31.050878524780273,39.83323669433594,24.989452362060547,82.47112274169922,33.055355072021484,19080.501953125,58587.0390625,11753.240234375,29179.298828125,0.17227213084697723,0.028313960880041122,0.01046233531087637,0.0037976368330419064,0.28193897008895874,177.6540985107422,0.9319140911102295,0.498887037500138,4121.3232421875,11.573474095305864,0.22286084294319153,0.00063235720153898,0.479101684341859,0.5,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,42,0.06416702270507812,0.08925718814134598,0.09296213090419769,0.05429534986615181,0.087776318192482,0.46,0.0,300.5,0.8564309477806091,0.6894785165786743,31.144433975219727,37.62605285644531,27.046344757080078,75.56539154052734,34.792884826660156,19032.818359375,58682.7265625,10954.75390625,29594.509765625,0.17236962914466858,0.03007430024445057,0.012105554342269897,0.004016197752207518,0.3091298043727875,187.9054412841797,0.8758203387260437,0.5017284433820147,4279.953125,11.427950957274374,0.21846415102481842,0.0009259741636924446,0.5231607629427792,0.55,0,0.5
/home/iams/ramlab_ws/src/unitree_rl_mjlab/logs/rsl_rl/h1_2_velocity_a1_v2/2026-08-26_10-02-56_a1a_fullmirror_jacc1e-7_standing15_s42/model_10000.pt,td3,"['velocity', 'orientation', 'height']",8,43,0.06451105326414108,0.08736179023981094,0.093095563352108,0.05470884218811989,0.08733411878347397,0.54,0.0,300.5,0.8603851795196533,0.6928984522819519,31.01204490661621,37.22750473022461,27.121667861938477,75.11317443847656,34.62959671020508,19458.787109375,59314.22265625,10780.3056640625,28903.375,0.17322461307048798,0.029279407113790512,0.011928210966289043,0.004026856739073992,0.30925342440605164,186.68666076660156,0.8785416483879089,0.49993080060921374,4264.12890625,11.418968227321887,0.21692298352718353,0.0009320233948528767,0.5226267437904049,0.55,0,0.5
